id,domain,portal_system,portal_subdomain,confidence,detection_method,validated,validation_website,error,timestamp,created_at,updated_at
175,spectrumrealtypm.com,appfolio,spectrum.appfolio.com,low,homepage_fetch,0,,,2026-02-01T21:16:16.502378,2026-02-25 06:54:01,2026-02-25 06:54:01
176,redfortresspropertymanagement.com,rentmanager,redfortress.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T21:16:19.562395,2026-02-25 06:54:01,2026-02-25 06:54:01
179,sspropmanagement.com,rentmanager,sspm.twa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T21:16:40.405613,2026-02-25 06:54:01,2026-02-25 06:54:01
180,stlsmartrentals.com,buildium,stlsmartrentals.managebuilding.com,high,homepage_fetch,0,,,2026-02-01T21:16:44.096794,2026-02-25 06:54:01,2026-02-25 06:54:01
181,reddoorrents.com,appfolio,reddoor.appfolio.com,high,homepage_fetch,1,http://www.reddoorrents.com,,2026-02-01T21:16:45.387331,2026-02-25 06:54:01,2026-02-25 06:54:01
182,rpmresults.com,appfolio,rpmin009.appfolio.com,high,secondary_page:/tenants/,1,http://rpmresults.com,,2026-02-01T21:16:47.346654,2026-02-25 06:54:01,2026-02-25 06:54:01
183,sbdhousing.com,rentmanager,sbdhs.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T21:17:35.714401,2026-02-25 06:54:01,2026-02-25 06:54:01
184,platinumrealtyandmgmt.com,rentmanager,platrm.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T21:17:49.173131,2026-02-25 06:54:01,2026-02-25 06:54:01
185,somgmt.com,appfolio,cdn.appfolio.com,low,homepage_fetch,0,,,2026-02-01T21:17:50.591209,2026-02-25 06:54:01,2026-02-25 06:54:01
187,tandcmanagement.com,appfolio,tcmanagement.appfolio.com,high,homepage_fetch,1,http://www.tandcmanagement.com,,2026-02-01T21:20:09.429605,2026-02-25 06:54:01,2026-02-25 06:54:01
188,sinatraandcompany.com,appfolio,,high,homepage_fetch,0,,,2026-02-01T21:20:12.531378,2026-02-25 06:54:01,2026-02-25 06:54:01
189,talleyproperties.com,appfolio,talley.appfolio.com,high,homepage_fetch,1,http://www.talleyproperties.com,,2026-02-01T21:20:14.367806,2026-02-25 06:54:01,2026-02-25 06:54:01
191,ppmral.com,cincwebaxis,ppm.cincwebaxis.com,high,homepage_fetch,0,,,2026-02-01T21:20:18.362353,2026-02-25 06:54:01,2026-02-25 06:54:01
192,vinebrookhomes.com,yardi,vinebrook-reslisting.rentcafe.com,high,homepage_fetch,0,,,2026-02-01T21:20:21.934359,2026-02-25 06:54:01,2026-02-25 06:54:01
193,premiermanagementnc.com,cincwebaxis,pmgmt.cincwebaxis.com,high,homepage_fetch,0,,,2026-02-01T21:20:23.377116,2026-02-25 06:54:01,2026-02-25 06:54:01
194,trademarkresidential.com,appfolio,trademarkresidential.appfolio.com,high,secondary_page:/owners/,1,https://trademarkresidential.com/,,2026-02-01T21:20:19.161551,2026-02-25 06:54:01,2026-02-25 06:54:01
195,rlpmg.com,buildium,rlp.managebuilding.com,high,homepage_fetch,0,,,2026-02-01T21:20:27.617540,2026-02-25 06:54:01,2026-02-25 06:54:01
196,stratagemmanagement.com,appfolio,,high,homepage_fetch,0,,,2026-02-01T21:20:29.879625,2026-02-25 06:54:01,2026-02-25 06:54:01
